thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,2,Main,21,0.6176398000025074,up,1,90,up,0.3736734693877551,conf,0.74,1.2285044999989623,3.735289227137359,3.264707502994309,0,22,M,R,
,,2,Main,22,0.5890935999996145,up,1,90,up,0.35346938775510206,control,0.6200000000000001,0.9599653000004764,4.541186236489013,3.0852432145205775,0,22,M,R,
,,2,Main,23,0.5497762000013608,up,1,90,up,0.35346938775510206,conf,0.8200000000000001,0.9140858999999182,4.863070394927748,1.9914502157932068,0,22,M,R,
,,2,Main,24,0.6602493999998842,up,1,90,up,0.333265306122449,conf,0.8,0.9817545999976574,3.4413694771331427,2.8850969717785295,0,22,M,R,
,,2,Main,25,0.7014826000013272,up,1,90,up,0.29285714285714287,control,0.5800000000000001,1.4033367000010912,4.778760106768528,3.301555041085841,0,22,M,R,
,,2,Main,26,0.8328175999995437,down,1,270,down,0.2524489795918367,conf,0.19999999999999996,1.292988900000637,3.78263298982512,2.5306645757445048,0,22,M,R,
,,2,Main,27,0.6395193999996991,up,1,90,up,0.23224489795918368,conf,0.19999999999999996,1.021985899998981,3.012127722117804,2.0689966509882596,0,22,M,R,
,,2,Main,28,0.9838834000001953,up,0,270,down,0.2120408163265306,conf,0.040000000000000036,1.1985252000013134,2.3799023399111245,2.3828063958990726,0,22,M,R,
,,2,Main,29,0.6375545000009879,up,0,270,down,0.3130612244897959,conf,0.30000000000000004,1.4151404000003822,3.0508923434935262,3.705322677049317,0,22,M,R,
,,2,Main,30,0.7683130000004894,up,0,270,down,0.3736734693877551,conf,-0.14,0.8830153999988397,3.9793278591957733,3.2088380362657114,0,22,M,R,
,,2,Main,31,0.6780547999987903,up,1,90,up,0.4140816326530612,conf,0.3799999999999999,1.2221829000009166,4.736756094594757,1.9404696972021833,0,22,M,R,
,,2,Main,32,0.6449021000007633,up,0,270,down,0.39387755102040817,conf,-0.4,1.7827801000021282,4.226595331605456,2.9837933329200217,0,22,M,R,
,,2,Main,33,0.7366650000003574,up,1,90,up,0.45448979591836736,control,0.5800000000000001,1.520120200002566,3.927722575554795,3.2352239047478166,0,22,M,R,
,,2,Main,34,0.685616899998422,up,1,90,up,0.4342857142857143,conf,0.72,1.1459625999996206,3.2337467598534464,1.9014158181669967,0,22,M,R,
,,2,Main,35,0.6012234999980137,up,1,90,up,0.4342857142857143,control,0.45999999999999996,1.5667283000002499,4.664101312464965,2.6781594425440325,0,22,M,R,
,,2,Main,36,0.9085876000026474,up,1,90,up,0.4140816326530612,conf,None,None,3.772128336971852,2.871697052026596,0,22,M,R,
,,2,Main,37,0.659519699998782,up,1,90,up,0.4140816326530612,conf,0.94,1.1386606999985815,3.833838467523888,2.309494994319513,0,22,M,R,
